league,gender,governing_body,first_season,last_season,tier,awards,url,country
Campeonato Brasileiro Série A,M,,2014,2025,,,https://fbref.com/en/comps/24/history/Serie-A-Seasons,Brazil
Brasileirão Feminino Série A1,F,,2019,2025,,,https://fbref.com/en/comps/206/history/Serie-A1-Seasons,Brazil
First Professional Football League,M,,2009-2010,2025-2026,,,https://fbref.com/en/comps/67/history/Bulgarian-First-League-Seasons,
Canadian Premier League,M,,2019,2025,,,https://fbref.com/en/comps/211/history/Canadian-Premier-League-Seasons,Canada
Chilean Primera División,M,,2014-2015,2025,,,https://fbref.com/en/comps/35/history/Chilean-Primera-Division-Seasons,Chile
Chinese Football Association Super League,M,,2014,2025,,,https://fbref.com/en/comps/62/history/Chinese-Super-League-Seasons,China
Categoría Primera A,M,,2014,2025,,,https://fbref.com/en/comps/41/history/Primera-A-Seasons,Colombia
Croatian Football League,M,,2007-2008,2025-2026,,,https://fbref.com/en/comps/63/history/Hrvatska-NL-Seasons,Croatia
Czech First League,M,,2009-2010,2025-2026,,,https://fbref.com/en/comps/66/history/Czech-First-League-Seasons,Czech Republic
Danish Superliga,M,,2003-2004,2025-2026,,,https://fbref.com/en/comps/50/history/Danish-Superliga-Seasons,Denmark
A-Liga,F,,2019-2020,2025-2026,,,https://fbref.com/en/comps/340/history/A-Liga-Seasons,Slovenia
Liga Profesional Ecuador,M,,2014,2025,,,https://fbref.com/en/comps/58/history/Serie-A-Seasons,Ecuador
Premier League,M,,1888-1889,2025-2026,,"Premier League Golden Boot, Premier League Golden Glove, Premier League Player of the Season, Premier League Young Player of the Season",https://fbref.com/en/comps/9/history/Premier-League-Seasons,England
FA Women's Super League,F,,2017,2025-2026,,,https://fbref.com/en/comps/189/history/Womens-Super-League-Seasons,England
La Liga,M,,1988-1989,2025-2026,,"La Liga Best Player, Trofeo Alfredo Di Stéfano",https://fbref.com/en/comps/12/history/La-Liga-Seasons,Spain
Liga F,F,,2022-2023,2025-2026,,,https://fbref.com/en/comps/230/history/Liga-F-Seasons,Spain
Veikkausliiga,M,,2003,2025,,,https://fbref.com/en/comps/43/history/Veikkausliiga-Seasons,Finland
Ligue 1,M,,1995-1996,2025-2026,,Ligue 1 Male Player of the Year,https://fbref.com/en/comps/13/history/Ligue-1-Seasons,France
Première Ligue,F,,2017-2018,2025-2026,,Ligue 1 Female Player of the Year,https://fbref.com/en/comps/193/history/Premiere-Ligue-Seasons,France
Fußball-Bundesliga,M,,1988-1989,2025-2026,,,https://fbref.com/en/comps/20/history/Bundesliga-Seasons,Germany
Frauen-Bundesliga,F,,2016-2017,2025-2026,,,https://fbref.com/en/comps/183/history/Frauen-Bundesliga-Seasons,Germany
Super League Greece,M,,2000-2001,2025-2026,,Best Greek Player (Superleague),https://fbref.com/en/comps/27/history/Super-League-Greece-Seasons,Greece
Nemzeti Bajnokság I,M,,2005-2006,2025-2026,,,https://fbref.com/en/comps/46/history/NB-I-Seasons,Hungary
Indian Super League,M,,2014,2024-2025,,,https://fbref.com/en/comps/82/history/Indian-Super-League-Seasons,India
League of Ireland Premier Division,M,,2014,2025,,,https://fbref.com/en/comps/80/history/League-of-Ireland-Premier-Division-Seasons,Ireland
Persian Gulf Pro League,M,,2014-2015,2025-2026,,Iranian Player of the Year,https://fbref.com/en/comps/64/history/Persian-Gulf-Pro-League-Seasons,Iran
Serie A,M,,1988-1989,2025-2026,,"Serie A Footballer of the Year, Serie A Italian Footballer of the Year",https://fbref.com/en/comps/11/history/Serie-A-Seasons,Italy
Serie A,F,,2018-2019,2025-2026,,,https://fbref.com/en/comps/208/history/Serie-A-Seasons,Italy
J1 League,M,,2014,2025,,Japan J.League Player of the Year,https://fbref.com/en/comps/25/history/J1-League-Seasons,Japan
Women Empowerment League,F,,2021-2022,2025-2026,,,https://fbref.com/en/comps/893/history/WE-League-Seasons,Japan
K League 1,M,,2014,2025,,"South Korean K League 1 MVP, South Korean K League Players' Player of the Year",https://fbref.com/en/comps/55/history/K-League-1-Seasons,South Korea
Saudi Pro League,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/70/history/Saudi-Pro-League-Seasons,Saudi Arabia
Liga MX,M,,2003-2004,2025-2026,,Mexico Balon de Oro (Liga MX),https://fbref.com/en/comps/31/history/Liga-MX-Seasons,Mexico
Eredivisie,M,,2000-2001,2025-2026,,,https://fbref.com/en/comps/23/history/Eredivisie-Seasons,Netherlands
Eredivisie Vrouwen,F,,2018-2019,2025-2026,,Eredivisie Golden Shoe,https://fbref.com/en/comps/195/history/Eredivisie-Vrouwen-Seasons,Netherlands
Eliteserien,M,,2000,2025,,,https://fbref.com/en/comps/28/history/Eliteserien-Seasons,Norway
Toppserien,F,,2017,2025,,,https://fbref.com/en/comps/185/history/Toppserien-Seasons,Norway
Paraguayan Primera División,M,,2014,2025,,,https://fbref.com/en/comps/61/history/Primera-Division-Seasons,Paraguay
Liga 1 de Fútbol Profesional,M,,2014,2025,,,https://fbref.com/en/comps/44/history/Liga-1-Seasons,Peru
Ekstraklasa,M,,2002-2003,2025-2026,,,https://fbref.com/en/comps/36/history/Ekstraklasa-Seasons,Poland
Primeira Liga,M,,2000-2001,2025-2026,,Portuguese Best Player,https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons,Portugal
Liga I,M,,2006-2007,2025-2026,,,https://fbref.com/en/comps/47/history/Liga-I-Seasons,Romania
South African Premiership,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/52/history/South-African-Premiership-Seasons,South Africa
Russian Premier League,M,,2001,2025-2026,,,https://fbref.com/en/comps/30/history/Russian-Premier-League-Seasons,Russia
Scottish Premiership,M,,2000-2001,2025-2026,,"PFA Scotland Players' Player of the Year, Scottish Premier League Player of the Year",https://fbref.com/en/comps/40/history/Scottish-Premiership-Seasons,Scotland
Serbian SuperLiga,M,,2008-2009,2025-2026,,,https://fbref.com/en/comps/54/history/Serbian-SuperLiga-Seasons,Serbia
Swiss Super League,M,,2003-2004,2025-2026,,,https://fbref.com/en/comps/57/history/Swiss-Super-League-Seasons,Switzerland
Swiss Women's Super League,F,,2021-2022,2025-2026,,,https://fbref.com/en/comps/894/history/Swiss-Womens-Super-League-Seasons,Switzerland
Allsvenskan,M,,2001,2025,,,https://fbref.com/en/comps/29/history/Allsvenskan-Seasons,Sweden
Damallsvenskan,F,,2017,2025,,,https://fbref.com/en/comps/187/history/Damallsvenskan-Seasons,Sweden
Süper Lig,M,,2001-2002,2025-2026,,,https://fbref.com/en/comps/26/history/Super-Lig-Seasons,Turkey
Ukrainian Premier League,M,,2003-2004,2025-2026,,Ukrainian Komanda Footballer of the Year,https://fbref.com/en/comps/39/history/Ukrainian-Premier-League-Seasons,Ukraine
Uruguayan Primera División,M,,2014-2015,2025,,,https://fbref.com/en/comps/45/history/Uruguayan-Primera-Division-Seasons,Uruguay
Major League Soccer,M,,1996,2025,,MLS MVP Award,https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons,United States
National Women's Soccer League,F,,2013,2025,,"NWSL Defender of the Year, NWSL Goalkeeper of the Year, NWSL Golden Boot, NWSL Midfielder of the Year, ...",https://fbref.com/en/comps/182/history/NWSL-Seasons,United States
Women's Professional Soccer,F,,2009,2011,,,https://fbref.com/en/comps/878/history/Womens-Professional-Soccer-Seasons,United States
Women's United Soccer Association,F,,2001,2003,,,https://fbref.com/en/comps/877/history/Womens-United-Soccer-Association-Seasons,United States
Venezuelan Primera División,M,,2014-2015,2025,,,https://fbref.com/en/comps/105/history/Venezuelan-Primera-Division-Seasons,Venezuela
Challenger Pro League,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/69/history/Challenger-Pro-League-Seasons,Belgium
Campeonato Brasileiro Série B,M,,2014,2025,,,https://fbref.com/en/comps/38/history/Serie-B-Seasons,Brazil
EFL Championship,M,,2001-2002,2025-2026,,,https://fbref.com/en/comps/10/history/Championship-Seasons,England
Spanish Segunda División,M,,2001-2002,2025-2026,,,https://fbref.com/en/comps/17/history/Segunda-Division-Seasons,Spain
Ligue 2,M,,2009-2010,2025-2026,,,https://fbref.com/en/comps/60/history/Ligue-2-Seasons,France
2. Fußball-Bundesliga,M,,2003-2004,2025-2026,,,https://fbref.com/en/comps/33/history/2-Bundesliga-Seasons,Germany
I-League,M,,2013-2014,2024-2025,,,https://fbref.com/en/comps/378/history/I-League-Seasons,India
Serie B,M,,2001-2002,2025-2026,,,https://fbref.com/en/comps/18/history/Serie-B-Seasons,Italy
J2 League,M,,2014,2025,,,https://fbref.com/en/comps/49/history/J2-League-Seasons,Japan
Eerste Divisie,M,,2007-2008,2025-2026,,,https://fbref.com/en/comps/51/history/Eerste-Divisie-Seasons,Netherlands
Scottish Championship,M,,2007-2008,2025-2026,,,https://fbref.com/en/comps/72/history/Scottish-Championship-Seasons,Scotland
Superettan,M,,2006,2025,,,https://fbref.com/en/comps/48/history/Superettan-Seasons,Sweden
North American Soccer League,M,,2011,2017,,,https://fbref.com/en/comps/76/history/NASL-Seasons,United States
USL Championship,M,,2011,2025,,,https://fbref.com/en/comps/73/history/USL-Championship-Seasons,United States
USL First Division,M,,2004,2009,,,https://fbref.com/en/comps/68/history/USL-D-1-Seasons,United States
USSF Division 2 Professional League,M,,2010,2010,,,https://fbref.com/en/comps/79/history/D2-Pro-League-Seasons,United States
EFL League One,M,,2002-2003,2025-2026,3rd,,https://fbref.com/en/comps/15/history/League-One-Seasons,England
EFL League Two,M,,2002-2003,2025-2026,4th,,https://fbref.com/en/comps/16/history/League-Two-Seasons,England
National League,M,,2006-2007,2025-2026,5th,,https://fbref.com/en/comps/34/history/National-League-Seasons,England
3. Fußball-Liga,M,,2009-2010,2025-2026,3rd,,https://fbref.com/en/comps/59/history/3-Liga-Seasons,Germany
USL League One,M,,2020,2025,3rd,,https://fbref.com/en/comps/137/history/USL-League-One-Seasons,United States
FIFA World Cup Qualification — Inter-confederation play-offs,M,FIFA,2022,2022,1st,,https://fbref.com/en/comps/255/history/FIFA-World-Cup-Qualification----Inter-confederation-play-offs-Seasons,International
Africa Cup of Nations qualification,M,CAF,2015,2025,,,https://fbref.com/en/comps/657/history/Africa-Cup-of-Nations-qualification-Seasons,
FIFA World Cup Qualification — CAF,M,CAF,2002,2026,,,https://fbref.com/en/comps/2/history/WCQ----CAF-M-Seasons,International
FIFA World Cup Qualification — CONCACAF,M,CONCACAF,1998,2026,,,https://fbref.com/en/comps/3/history/WCQ----CONCACAF-M-Seasons,International
FIFA World Cup Qualification — CONMEBOL,M,CONMEBOL,2002,2026,,,https://fbref.com/en/comps/4/history/WCQ----CONMEBOL-M-Seasons,International
FIFA World Cup Qualification — OFC,M,OFC,2014,2026,,,https://fbref.com/en/comps/5/history/WCQ----OFC-M-Seasons,International
FIFA World Cup Qualification — UEFA,M,UEFA,1998,2026,,,https://fbref.com/en/comps/6/history/WCQ----UEFA-M-Seasons,International
UEFA European Football Championship Qualifying,M,UEFA,2008,2024,,,https://fbref.com/en/comps/678/history/UEFA-Euro-Qualifying-Seasons,International
FIFA Women's World Cup Qualification,F,UEFA,2019,2023,,,https://fbref.com/en/comps/160/history/WCQ----UEFA-W-Seasons,International
UEFA Women's Euro Qualification,F,UEFA,2017,2025,,,https://fbref.com/en/comps/675/history/UEFA-Womens-Euro-Qualification-Seasons,International
AFC Asian Cup qualification,M,AFC,2000,2023,,,https://fbref.com/en/comps/665/history/AFC-Asian-Cup-qualification-Seasons,International
FIFA World Cup Qualification — AFC,M,AFC,2002,2026,,,https://fbref.com/en/comps/7/history/WCQ----AFC-M-Seasons,International
AFC Women's Asian Cup qualification,F,AFC,2018,2026,,,https://fbref.com/en/comps/662/history/AFC-Womens-Asian-Cup-qualification-Seasons,International
Copa de la Liga Profesional,M,,2020,2024,,,https://fbref.com/en/comps/905/history/Copa-de-la-Liga-Profesional-Seasons,Argentina
EFL Cup,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/690/history/EFL-Cup-Seasons,England
FA Community Shield,M,,2015,2025,,,https://fbref.com/en/comps/602/history/FA-Community-Shield-Seasons,England
FA Cup,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/514/history/FA-Cup-Seasons,England
Copa del Rey,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/569/history/Copa-del-Rey-Seasons,Spain
Supercopa de España,M,,2015,2025,,,https://fbref.com/en/comps/646/history/Supercopa-de-Espana-Seasons,Spain
Coupe de France,M,,2014-2015,2024-2025,,,https://fbref.com/en/comps/518/history/Coupe-de-France-Seasons,France
Trophée des Champions,M,,2014,2025,,,https://fbref.com/en/comps/604/history/Trophee-des-Champions-Seasons,France
Coupe de la Ligue,M,,2014-2015,2019-2020,1st,,https://fbref.com/en/comps/693/history/Coupe-de-la-Ligue-Seasons,France
DFB-Pokal,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/521/history/DFB-Pokal-Seasons,Germany
Franz Beckenbauer Supercup,M,,2014,2025,,,https://fbref.com/en/comps/606/history/Franz-Beckenbauer-Supercup-Seasons,Germany
DFB-Pokal Frauen,F,,2019-2020,2025-2026,,,https://fbref.com/en/comps/520/history/DFB-Pokal-Frauen-Seasons,Germany
Coppa Italia,M,,2014-2015,2025-2026,,,https://fbref.com/en/comps/529/history/Coppa-Italia-Seasons,Italy
Supercoppa Italiana,M,,2014,2025,,,https://fbref.com/en/comps/612/history/Supercoppa-Italiana-Seasons,Italy
Lamar Hunt U.S. Open Cup,M,,2019,2025,,,https://fbref.com/en/comps/577/history/US-Open-Cup-Seasons,United States
NWSL Challenge Cup,F,,2020,2024,,,https://fbref.com/en/comps/881/history/NWSL-Challenge-Cup-Seasons,United States
NWSL Fall Series,F,,2020,2020,,,https://fbref.com/en/comps/884/history/NWSL-Fall-Series-Seasons,United States
Premier League 2,M,,2016-2017,2025-2026,1st,,https://fbref.com/en/comps/852/history/Premier-League-2-Seasons,England
Premier League 2 — Division 2,M,,2016-2017,2022-2023,2nd,,https://fbref.com/en/comps/853/history/Premier-League-2----Division-2-Seasons,England
U17 DFB Youth League,M,,2016-2017,2025-2026,1st,,https://fbref.com/en/comps/851/history/U17-DFB-Youth-League-Seasons,Germany
U19 DFB Youth League,M,,2015-2016,2025-2026,1st,,https://fbref.com/en/comps/850/history/U19-DFB-Youth-League-Seasons,Germany
